"Src NE Name","Sink NE Name","Link Type","Status","Capacity","Media Type","Protection","Service Class","Utilization","Route WKT"
"CSG-E00770","CSG-E00771","CSG-Ring","Up","10G","Fiber","Ring","Access","32%","LINESTRING(116.41639 39.698232, 116.4140001 39.6996236, 116.416592 39.700588)"
"CSG-E00771","CSG-E00772","CSG-Ring","Up","10G","Fiber","Ring","Access","39%","LINESTRING(116.416592 39.700588, 116.4194308 39.6996134, 116.419229 39.702608)"
"CSG-E00772","CSG-E00773","CSG-Ring","Up","10G","Fiber","Ring","Access","46%","LINESTRING(116.419229 39.702608, 116.4163075 39.7017819, 116.416576 39.704806)"
"CSG-E00773","CSG-E00774","CSG-Ring","Up","10G","Fiber","Ring","Access","53%","LINESTRING(116.416576 39.704806, 116.4187642 39.7064228, 116.416085 39.706896)"
"CSG-E00774","CSG-E00775","CSG-Ring","Up","10G","Fiber","Ring","Access","60%","LINESTRING(116.416085 39.706896, 116.4136336 39.7083092, 116.416179 39.709545)"
"CSG-E00775","CSG-E00776","CSG-Ring","Up","10G","Fiber","Ring","Access","67%","LINESTRING(116.416179 39.709545, 116.4172004 39.7122101, 116.414402 39.711649)"
"CSG-E00776","CSG-E00777","CSG-Ring","Up","10G","Fiber","Ring","Access","74%","LINESTRING(116.414402 39.711649, 116.4116677 39.7106192, 116.412025 39.713519)"
"CSG-E00777","CSG-E00778","CSG-Ring","Up","10G","Fiber","Ring","Access","81%","LINESTRING(116.412025 39.713519, 116.4095456 39.7155235, 116.408164 39.71265)"
"CSG-E00778","CSG-E00779","CSG-Ring","Up","10G","Fiber","Ring","Access","88%","LINESTRING(116.408164 39.71265, 116.4068625 39.7100849, 116.405322 39.712514)"
"CSG-E00779","CSG-E00780","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","19%","LINESTRING(116.405322 39.712514, 116.4052147 39.7157512, 116.402058 39.715026)"
"ASG-094","CSG-E00768","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","26%","LINESTRING(116.376501 39.708734, 116.3970269 39.7081867, 116.412494 39.694682)"
"ASG-109","CSG-E00780","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","33%","LINESTRING(116.311194 39.746186, 116.3510172 39.7142505, 116.402058 39.715026)"
"CSG-E00781","CSG-E00782","CSG-Ring","Up","10G","Fiber","Ring","Access","40%","LINESTRING(116.382648 39.813564, 116.3826073 39.8175277, 116.386479 39.818378)"
"CSG-E00782","CSG-E00783","CSG-Ring","Down","10G","Fiber","Ring","Access","47%","LINESTRING(116.386479 39.818378, 116.3902684 39.8180949, 116.391058 39.821812)"
"CSG-E00783","CSG-E00784","CSG-Ring","Up","10G","Fiber","Ring","Access","54%","LINESTRING(116.391058 39.821812, 116.3901091 39.8253526, 116.393575 39.826546)"
"CSG-E00784","CSG-E00785","CSG-Ring","Up","10G","Fiber","Ring","Access","61%","LINESTRING(116.393575 39.826546, 116.3946594 39.8300419, 116.391244 39.831358)"
"CSG-E00785","CSG-E00786","CSG-Ring","Up","10G","Fiber","Ring","Access","68%","LINESTRING(116.391244 39.831358, 116.3880054 39.8327191, 116.389408 39.83594)"
"CSG-E00786","CSG-E00787","CSG-Ring","Up","10G","Fiber","Ring","Access","75%","LINESTRING(116.389408 39.83594, 116.3889019 39.8396586, 116.38515 39.839574)"
"CSG-E00787","CSG-E00788","CSG-Ring","Up","10G","Fiber","Ring","Access","82%","LINESTRING(116.38515 39.839574, 116.3815717 39.837831, 116.379113 39.840961)"
"ASG-034","CSG-E00781","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","89%","LINESTRING(116.383628 39.801091, 116.3856303 39.8075233, 116.382648 39.813564)"
"ASG-082","CSG-E00788","ASG-CSG-Access","Maintenance","25G","Fiber","Dual-Homed","Backhaul","20%","LINESTRING(116.303759 39.795759, 116.3332996 39.8319237, 116.379113 39.840961)"
"CSG-E00789","CSG-E00790","CSG-Ring","Up","10G","Fiber","Ring","Access","27%","LINESTRING(115.850096 40.006219, 115.8532743 40.0054482, 115.853498 40.008711)"
"CSG-E00790","CSG-E00791","CSG-Ring","Up","10G","Fiber","Ring","Access","34%","LINESTRING(115.853498 40.008711, 115.8556481 40.0113906, 115.858196 40.009086)"
"CSG-E00791","CSG-E00792","CSG-Ring","Up","10G","Fiber","Ring","Access","41%","LINESTRING(115.858196 40.009086, 115.8610282 40.0105904, 115.858949 40.013032)"
"CSG-E00792","CSG-E00793","CSG-Ring","Up","10G","Fiber","Ring","Access","48%","LINESTRING(115.858949 40.013032, 115.8586668 40.0160537, 115.86159 40.015238)"
"CSG-E00793","CSG-E00794","CSG-Ring","Up","10G","Fiber","Ring","Access","55%","LINESTRING(115.86159 40.015238, 115.8642523 40.0164455, 115.86195 40.018247)"
"CSG-E00794","CSG-E00795","CSG-Ring","Up","10G","Fiber","Ring","Access","62%","LINESTRING(115.86195 40.018247, 115.8609662 40.0211276, 115.864009 40.021044)"
"CSG-E00795","CSG-E00796","CSG-Ring","Up","10G","Fiber","Ring","Access","69%","LINESTRING(115.864009 40.021044, 115.8660204 40.023202, 115.863201 40.02407)"
"CSG-E00796","CSG-E00797","CSG-Ring","Up","10G","Fiber","Ring","Access","76%","LINESTRING(115.863201 40.02407, 115.8602143 40.0238481, 115.861186 40.026681)"
"CSG-E00797","CSG-E00798","CSG-Ring","Up","10G","Fiber","Ring","Access","83%","LINESTRING(115.861186 40.026681, 115.8638033 40.0284136, 115.861431 40.030469)"
"CSG-E00798","CSG-E00799","CSG-Ring","Up","10G","Fiber","Ring","Access","90%","LINESTRING(115.861431 40.030469, 115.8586036 40.0285212, 115.85683 40.031461)"
"CSG-E00799","CSG-E00800","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","21%","LINESTRING(115.85683 40.031461, 115.8561496 40.0344814, 115.853479 40.032915)"
"CSG-E00800","CSG-E00801","CSG-Ring","Up","10G","Fiber","Ring","Access","28%","LINESTRING(115.853479 40.032915, 115.8513157 40.0306409, 115.849707 40.033336)"
"ASG-100","CSG-E00789","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","35%","LINESTRING(115.814844 40.010043, 115.8317817 40.0017856, 115.850096 40.006219)"
"ASG-042","CSG-E00801","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","42%","LINESTRING(115.843753 40.065121, 115.8524513 40.0503002, 115.849707 40.033336)"
"CSG-E00802","CSG-E00803","CSG-Ring","Up","10G","Fiber","Ring","Access","49%","LINESTRING(116.396234 40.083934, 116.3990093 40.0858185, 116.396829 40.088368)"
"CSG-E00803","CSG-E00804","CSG-Ring","Down","10G","Fiber","Ring","Access","56%","LINESTRING(116.396829 40.088368, 116.3939105 40.0902276, 116.395896 40.093062)"
"CSG-E00804","CSG-E00805","CSG-Ring","Up","10G","Fiber","Ring","Access","63%","LINESTRING(116.395896 40.093062, 116.3961676 40.0967215, 116.392537 40.097255)"
"CSG-E00805","CSG-E00806","CSG-Ring","Up","10G","Fiber","Ring","Access","70%","LINESTRING(116.392537 40.097255, 116.388877 40.0954861, 116.38627 40.098605)"
"CSG-E00806","CSG-E00807","CSG-Ring","Up","10G","Fiber","Ring","Access","77%","LINESTRING(116.38627 40.098605, 116.3845617 40.1020863, 116.380842 40.10099)"
"CSG-E00807","CSG-E00808","CSG-Ring","Up","10G","Fiber","Ring","Access","84%","LINESTRING(116.380842 40.10099, 116.3777051 40.0984527, 116.374509 40.100915)"
"CSG-E00808","CSG-E00809","CSG-Ring","Up","10G","Fiber","Ring","Access","91%","LINESTRING(116.374509 40.100915, 116.3708174 40.1022276, 116.368842 40.098844)"
"CSG-E00809","CSG-E00810","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","22%","LINESTRING(116.368842 40.098844, 116.3688975 40.0952308, 116.36529 40.095021)"
"ASG-085","CSG-E00802","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","29%","LINESTRING(116.393858 40.072881, 116.3974902 40.0778821, 116.396234 40.083934)"
"ASG-040","CSG-E00810","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","36%","LINESTRING(116.294106 40.091897, 116.3291357 40.1062721, 116.36529 40.095021)"
"CSG-E00811","CSG-E00812","CSG-Ring","Up","10G","Fiber","Ring","Access","43%","LINESTRING(116.000038 40.263277, 116.0013802 40.2596268, 116.005208 40.260315)"
"CSG-E00812","CSG-E00813","CSG-Ring","Up","10G","Fiber","Ring","Access","50%","LINESTRING(116.005208 40.260315, 116.0073964 40.2637264, 116.011232 40.262417)"
"CSG-E00813","CSG-E00814","CSG-Ring","Up","10G","Fiber","Ring","Access","57%","LINESTRING(116.011232 40.262417, 116.0144489 40.2607038, 116.016349 40.263814)"
"CSG-E00814","CSG-E00815","CSG-Ring","Up","10G","Fiber","Ring","Access","64%","LINESTRING(116.016349 40.263814, 116.0181383 40.2673258, 116.021932 40.266257)"
"CSG-E00815","CSG-E00816","CSG-Ring","Up","10G","Fiber","Ring","Access","71%","LINESTRING(116.021932 40.266257, 116.0251783 40.2678024, 116.023741 40.271098)"
"ASG-086","CSG-E00811","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","78%","LINESTRING(116.043508 40.267513, 116.0225355 40.2575704, 116.000038 40.263277)"
"ASG-086","CSG-E00816","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","85%","LINESTRING(116.043508 40.267513, 116.0342698 40.2728636, 116.023741 40.271098)"
"CSG-E00817","CSG-E00818","CSG-Ring","Up","10G","Fiber","Ring","Access","92%","LINESTRING(115.920292 39.825069, 115.9186722 39.8226051, 115.917166 39.82514)"
"CSG-E00818","CSG-E00819","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","23%","LINESTRING(115.917166 39.82514, 115.9143455 39.8245882, 115.916267 39.822451)"
"CSG-E00819","CSG-E00820","CSG-Ring","Up","10G","Fiber","Ring","Access","30%","LINESTRING(115.916267 39.822451, 115.9160005 39.8196479, 115.913864 39.821482)"
"CSG-E00820","CSG-E00821","CSG-Ring","Up","10G","Fiber","Ring","Access","37%","LINESTRING(115.913864 39.821482, 115.9111792 39.8210401, 115.913348 39.819397)"
"CSG-E00821","CSG-E00822","CSG-Ring","Up","10G","Fiber","Ring","Access","44%","LINESTRING(115.913348 39.819397, 115.9155784 39.8179182, 115.91293 39.817534)"
"CSG-E00822","CSG-E00823","CSG-Ring","Up","10G","Fiber","Ring","Access","51%","LINESTRING(115.91293 39.817534, 115.91027 39.8173568, 115.912404 39.815759)"
"CSG-E00823","CSG-E00824","CSG-Ring","Up","10G","Fiber","Ring","Access","58%","LINESTRING(115.912404 39.815759, 115.9150712 39.815648, 115.912987 39.81398)"
"CSG-E00824","CSG-E00825","CSG-Ring","Down","10G","Fiber","Ring","Access","65%","LINESTRING(115.912987 39.81398, 115.909885 39.8145954, 115.910064 39.811438)"
"CSG-E00825","CSG-E00826","CSG-Ring","Up","10G","Fiber","Ring","Access","72%","LINESTRING(115.910064 39.811438, 115.9125658 39.8131088, 115.913157 39.810159)"
"CSG-E00826","CSG-E00827","CSG-Ring","Up","10G","Fiber","Ring","Access","79%","LINESTRING(115.913157 39.810159, 115.9107233 39.8087993, 115.913283 39.807695)"
"CSG-E00827","CSG-E00828","CSG-Ring","Up","10G","Fiber","Ring","Access","86%","LINESTRING(115.913283 39.807695, 115.9155859 39.8093649, 115.915732 39.806524)"
"CSG-E00828","CSG-E00829","CSG-Ring","Up","10G","Fiber","Ring","Access","93%","LINESTRING(115.915732 39.806524, 115.9174859 39.8041223, 115.918948 39.806712)"
"CSG-E00829","CSG-E00830","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","24%","LINESTRING(115.918948 39.806712, 115.920736 39.8088073, 115.921175 39.806088)"
"CSG-E00830","CSG-E00831","CSG-Ring","Up","10G","Fiber","Ring","Access","31%","LINESTRING(115.921175 39.806088, 115.9203986 39.8032489, 115.923288 39.80381)"
"ASG-081","CSG-E00817","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","38%","LINESTRING(115.90416 39.827925, 115.9127401 39.8294008, 115.920292 39.825069)"
"ASG-088","CSG-E00831","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","45%","LINESTRING(115.913904 39.885806, 115.9038367 39.8431189, 115.923288 39.80381)"
"CSG-E00832","CSG-E00833","CSG-Ring","Up","10G","Fiber","Ring","Access","52%","LINESTRING(115.967582 39.594722, 115.9642442 39.593748, 115.963384 39.597117)"
"CSG-E00833","CSG-E00834","CSG-Ring","Up","10G","Fiber","Ring","Access","59%","LINESTRING(115.963384 39.597117, 115.9601981 39.5963508, 115.961477 39.593334)"
"CSG-E00834","CSG-E00835","CSG-Ring","Up","10G","Fiber","Ring","Access","66%","LINESTRING(115.961477 39.593334, 115.9603845 39.5905305, 115.958208 39.592608)"
"CSG-E00835","CSG-E00836","CSG-Ring","Up","10G","Fiber","Ring","Access","73%","LINESTRING(115.958208 39.592608, 115.9555321 39.5937912, 115.955713 39.590871)"
"CSG-E00836","CSG-E00837","CSG-Ring","Up","10G","Fiber","Ring","Access","80%","LINESTRING(115.955713 39.590871, 115.9573831 39.5885606, 115.954537 39.588396)"
"CSG-E00837","CSG-E00838","CSG-Ring","Up","10G","Fiber","Ring","Access","87%","LINESTRING(115.954537 39.588396, 115.9516774 39.5900775, 115.9504 39.587016)"
"CSG-E00838","CSG-E00839","CSG-Ring","Up","10G","Fiber","Ring","Access","18%","LINESTRING(115.9504 39.587016, 115.9522534 39.5847878, 115.949404 39.584258)"
"CSG-E00839","CSG-E00840","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","25%","LINESTRING(115.949404 39.584258, 115.9482339 39.581471, 115.951256 39.581409)"
"CSG-E00840","CSG-E00841","CSG-Ring","Up","10G","Fiber","Ring","Access","32%","LINESTRING(115.951256 39.581409, 115.9521466 39.5784478, 115.949055 39.57851)"
"CSG-E00841","CSG-E00842","CSG-Ring","Up","10G","Fiber","Ring","Access","39%","LINESTRING(115.949055 39.57851, 115.9502029 39.5752956, 115.953325 39.576675)"
"CSG-E00842","CSG-E00843","CSG-Ring","Up","10G","Fiber","Ring","Access","46%","LINESTRING(115.953325 39.576675, 115.9559643 39.5778689, 115.955713 39.574983)"
"CSG-E00843","CSG-E00844","CSG-Ring","Up","10G","Fiber","Ring","Access","53%","LINESTRING(115.955713 39.574983, 115.9529589 39.5736766, 115.955136 39.571543)"
"CSG-E00844","CSG-E00845","CSG-Ring","Up","10G","Fiber","Ring","Access","60%","LINESTRING(115.955136 39.571543, 115.9580742 39.5707468, 115.956303 39.568271)"
"CSG-E00845","CSG-E00846","CSG-Ring","Up","10G","Fiber","Ring","Access","67%","LINESTRING(115.956303 39.568271, 115.9600203 39.5669605, 115.962032 39.57035)"
"CSG-E00846","CSG-E00847","CSG-Ring","Down","10G","Fiber","Ring","Access","74%","LINESTRING(115.962032 39.57035, 115.9645837 39.5717213, 115.96453 39.568825)"
"ASG-111","CSG-E00832","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","81%","LINESTRING(115.941631 39.555713, 115.9616281 39.5705463, 115.967582 39.594722)"
"ASG-115","CSG-E00847","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","88%","LINESTRING(115.941426 39.617919, 115.9618149 39.5975307, 115.96453 39.568825)"
"CSG-E00848","CSG-E00849","CSG-Ring","Up","10G","Fiber","Ring","Access","19%","LINESTRING(115.926158 39.905086, 115.9233116 39.9054079, 115.924527 39.902814)"
"CSG-E00849","CSG-E00850","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","26%","LINESTRING(115.924527 39.902814, 115.9253581 39.8999852, 115.922451 39.900477)"
"CSG-E00850","CSG-E00851","CSG-Ring","Up","10G","Fiber","Ring","Access","33%","LINESTRING(115.922451 39.900477, 115.9196949 39.8996457, 115.921812 39.897695)"
"CSG-E00851","CSG-E00852","CSG-Ring","Up","10G","Fiber","Ring","Access","40%","LINESTRING(115.921812 39.897695, 115.9233356 39.8950456, 115.920327 39.894508)"
"CSG-E00852","CSG-E00853","CSG-Ring","Up","10G","Fiber","Ring","Access","47%","LINESTRING(115.920327 39.894508, 115.9197375 39.8914943, 115.922779 39.891918)"
"CSG-E00853","CSG-E00854","CSG-Ring","Up","10G","Fiber","Ring","Access","54%","LINESTRING(115.922779 39.891918, 115.9257539 39.8920151, 115.92462 39.889263)"
"CSG-E00854","CSG-E00855","CSG-Ring","Up","10G","Fiber","Ring","Access","61%","LINESTRING(115.92462 39.889263, 115.9232887 39.8865043, 115.926333 39.886165)"
"CSG-E00855","CSG-E00856","CSG-Ring","Up","10G","Fiber","Ring","Access","68%","LINESTRING(115.926333 39.886165, 115.928707 39.8887735, 115.931304 39.886387)"
"CSG-E00856","CSG-E00857","CSG-Ring","Up","10G","Fiber","Ring","Access","75%","LINESTRING(115.931304 39.886387, 115.9322641 39.8834843, 115.934673 39.885367)"
"CSG-E00857","CSG-E00858","CSG-Ring","Up","10G","Fiber","Ring","Access","82%","LINESTRING(115.934673 39.885367, 115.937889 39.8860271, 115.938027 39.882747)"
"CSG-E00858","CSG-E00859","CSG-Ring","Up","10G","Fiber","Ring","Access","89%","LINESTRING(115.938027 39.882747, 115.9414049 39.8821916, 115.941734 39.885599)"
"CSG-E00859","CSG-E00860","CSG-Ring","Up","10G","Fiber","Ring","Access","20%","LINESTRING(115.941734 39.885599, 115.9445478 39.8873775, 115.945951 39.884359)"
"CSG-E00860","CSG-E00861","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","27%","LINESTRING(115.945951 39.884359, 115.9485826 39.8826122, 115.949607 39.8856)"
"ASG-088","CSG-E00848","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","34%","LINESTRING(115.913904 39.885806, 115.9165606 39.8976517, 115.926158 39.905086)"
"ASG-031","CSG-E00861","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","41%","LINESTRING(116.019399 39.899281, 115.9820404 39.9050031, 115.949607 39.8856)"
"CSG-E00862","CSG-E00863","CSG-Ring","Up","10G","Fiber","Ring","Access","48%","LINESTRING(116.082009 40.126002, 116.0812383 40.1229242, 116.078438 40.124416)"
"CSG-E00863","CSG-E00864","CSG-Ring","Up","10G","Fiber","Ring","Access","55%","LINESTRING(116.078438 40.124416, 116.0754077 40.1246665, 116.07624 40.121742)"
"CSG-E00864","CSG-E00865","CSG-Ring","Up","10G","Fiber","Ring","Access","62%","LINESTRING(116.07624 40.121742, 116.0790005 40.1205273, 116.076841 40.118422)"
"CSG-E00865","CSG-E00866","CSG-Ring","Up","10G","Fiber","Ring","Access","69%","LINESTRING(116.076841 40.118422, 116.074125 40.1176165, 116.076308 40.115811)"
"CSG-E00866","CSG-E00867","CSG-Ring","Up","10G","Fiber","Ring","Access","76%","LINESTRING(116.076308 40.115811, 116.0790082 40.1149605, 116.076792 40.113199)"
"CSG-E00867","CSG-E00868","CSG-Ring","Down","10G","Fiber","Ring","Access","83%","LINESTRING(116.076792 40.113199, 116.0756612 40.1105577, 116.078508 40.110946)"
"CSG-E00868","CSG-E00869","CSG-Ring","Up","10G","Fiber","Ring","Access","90%","LINESTRING(116.078508 40.110946, 116.0807385 40.108694, 116.07801 40.107081)"
"CSG-E00869","CSG-E00870","CSG-Ring","Up","10G","Fiber","Ring","Access","21%","LINESTRING(116.07801 40.107081, 116.0799875 40.104357, 116.082493 40.106605)"
"CSG-E00870","CSG-E00871","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","28%","LINESTRING(116.082493 40.106605, 116.0846249 40.1088102, 116.086007 40.106072)"
"CSG-E00871","CSG-E00872","CSG-Ring","Up","10G","Fiber","Ring","Access","35%","LINESTRING(116.086007 40.106072, 116.0862103 40.1028426, 116.089339 40.103668)"
"ASG-050","CSG-E00862","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","42%","LINESTRING(116.083308 40.100773, 116.0781173 40.1131537, 116.082009 40.126002)"
"ASG-104","CSG-E00872","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","49%","LINESTRING(116.159927 40.145199, 116.1171574 40.1371393, 116.089339 40.103668)"
"CSG-E00873","CSG-E00874","CSG-Ring","Up","10G","Fiber","Ring","Access","56%","LINESTRING(116.03713 39.941922, 116.0339752 39.9380226, 116.029018 39.938787)"
"CSG-E00874","CSG-E00875","CSG-Ring","Up","10G","Fiber","Ring","Access","63%","LINESTRING(116.029018 39.938787, 116.0244501 39.9379694, 116.023276 39.93348)"
"CSG-E00875","CSG-E00876","CSG-Ring","Up","10G","Fiber","Ring","Access","70%","LINESTRING(116.023276 39.93348, 116.026346 39.9305542, 116.024496 39.926738)"
"CSG-E00876","CSG-E00877","CSG-Ring","Up","10G","Fiber","Ring","Access","77%","LINESTRING(116.024496 39.926738, 116.0234136 39.9230575, 116.026889 39.921433)"
"CSG-E00877","CSG-E00878","CSG-Ring","Up","10G","Fiber","Ring","Access","84%","LINESTRING(116.026889 39.921433, 116.0300421 39.9184634, 116.028295 39.9145)"
"ASG-031","CSG-E00873","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","91%","LINESTRING(116.019399 39.899281, 116.0359399 39.9174099, 116.03713 39.941922)"
"ASG-025","CSG-E00878","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","22%","LINESTRING(116.023741 39.968455, 116.0357299 39.9422972, 116.028295 39.9145)"
"CSG-E00879","CSG-E00880","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","29%","LINESTRING(116.668623 39.871657, 116.6702044 39.8743626, 116.66717 39.875146)"
"CSG-E00880","CSG-E00881","CSG-Ring","Up","10G","Fiber","Ring","Access","36%","LINESTRING(116.66717 39.875146, 116.665462 39.8778778, 116.668485 39.878992)"
"CSG-E00881","CSG-E00882","CSG-Ring","Up","10G","Fiber","Ring","Access","43%","LINESTRING(116.668485 39.878992, 116.6680059 39.8823412, 116.664715 39.881556)"
"CSG-E00882","CSG-E00883","CSG-Ring","Up","10G","Fiber","Ring","Access","50%","LINESTRING(116.664715 39.881556, 116.6615718 39.8818618, 116.662664 39.884825)"
"CSG-E00883","CSG-E00884","CSG-Ring","Up","10G","Fiber","Ring","Access","57%","LINESTRING(116.662664 39.884825, 116.6622386 39.8881105, 116.659044 39.887233)"
"CSG-E00884","CSG-E00885","CSG-Ring","Up","10G","Fiber","Ring","Access","64%","LINESTRING(116.659044 39.887233, 116.6561722 39.8853556, 116.654476 39.888338)"
"CSG-E00885","CSG-E00886","CSG-Ring","Up","10G","Fiber","Ring","Access","71%","LINESTRING(116.654476 39.888338, 116.6513912 39.890026, 116.649737 39.886923)"
"CSG-E00886","CSG-E00887","CSG-Ring","Up","10G","Fiber","Ring","Access","78%","LINESTRING(116.649737 39.886923, 116.6484103 39.8840003, 116.645838 39.88592)"
"CSG-E00887","CSG-E00888","CSG-Ring","Up","10G","Fiber","Ring","Access","85%","LINESTRING(116.645838 39.88592, 116.6435183 39.8881277, 116.641872 39.885381)"
"CSG-E00888","CSG-E00889","CSG-Ring","Down","10G","Fiber","Ring","Access","92%","LINESTRING(116.641872 39.885381, 116.640196 39.8825002, 116.637548 39.884524)"
"CSG-E00889","CSG-E00890","CSG-Ring","Up","10G","Fiber","Ring","Access","23%","LINESTRING(116.637548 39.884524, 116.6344579 39.8852219, 116.63454 39.882055)"
"ASG-012","CSG-E00879","ASG-CSG-Access","Maintenance","25G","Fiber","Dual-Homed","Backhaul","30%","LINESTRING(116.648221 39.887381, 116.6612523 39.8831914, 116.668623 39.871657)"
"ASG-017","CSG-E00890","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","37%","LINESTRING(116.730374 39.889541, 116.6811095 39.9030481, 116.63454 39.882055)"
"CSG-E00891","CSG-E00892","CSG-Ring","Up","10G","Fiber","Ring","Access","44%","LINESTRING(116.865659 39.764324, 116.8661715 39.7672496, 116.868617 39.765564)"
"CSG-E00892","CSG-E00893","CSG-Ring","Up","10G","Fiber","Ring","Access","51%","LINESTRING(116.868617 39.765564, 116.8714171 39.7649685, 116.870453 39.767664)"
"CSG-E00893","CSG-E00894","CSG-Ring","Up","10G","Fiber","Ring","Access","58%","LINESTRING(116.870453 39.767664, 116.8715726 39.7705735, 116.87404 39.768668)"
"CSG-E00894","CSG-E00895","CSG-Ring","Up","10G","Fiber","Ring","Access","65%","LINESTRING(116.87404 39.768668, 116.8769491 39.768377, 116.875862 39.771091)"
"CSG-E00895","CSG-E00896","CSG-Ring","Up","10G","Fiber","Ring","Access","72%","LINESTRING(116.875862 39.771091, 116.8731511 39.7720383, 116.875361 39.773872)"
"CSG-E00896","CSG-E00897","CSG-Ring","Up","10G","Fiber","Ring","Access","79%","LINESTRING(116.875361 39.773872, 116.8778309 39.7753093, 116.875302 39.77664)"
"CSG-E00897","CSG-E00898","CSG-Ring","Up","10G","Fiber","Ring","Access","86%","LINESTRING(116.875302 39.77664, 116.8723898 39.7766562, 116.873784 39.779213)"
"CSG-E00898","CSG-E00899","CSG-Ring","Up","10G","Fiber","Ring","Access","93%","LINESTRING(116.873784 39.779213, 116.8722952 39.7820341, 116.869889 39.77994)"
"CSG-E00899","CSG-E00900","CSG-Ring","Up","10G","Fiber","Ring","Access","24%","LINESTRING(116.869889 39.77994, 116.867162 39.7789163, 116.867551 39.781803)"
"ASG-103","CSG-E00891","ASG-CSG-Access","Maintenance","25G","Fiber","Dual-Homed","Backhaul","31%","LINESTRING(116.850772 39.814008, 116.8492724 39.7864863, 116.865659 39.764324)"
"ASG-056","CSG-E00900","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","38%","LINESTRING(116.851691 39.743881, 116.852795 39.7656968, 116.867551 39.781803)"
"CSG-E00901","CSG-E00902","CSG-Ring","Up","10G","Fiber","Ring","Access","45%","LINESTRING(115.841137 39.471583, 115.8380512 39.4715874, 115.839012 39.468655)"
"CSG-E00902","CSG-E00903","CSG-Ring","Up","10G","Fiber","Ring","Access","52%","LINESTRING(115.839012 39.468655, 115.8363357 39.4662888, 115.833915 39.468916)"
"CSG-E00903","CSG-E00904","CSG-Ring","Up","10G","Fiber","Ring","Access","59%","LINESTRING(115.833915 39.468916, 115.830893 39.4691973, 115.831709 39.466274)"
"CSG-E00904","CSG-E00905","CSG-Ring","Up","10G","Fiber","Ring","Access","66%","LINESTRING(115.831709 39.466274, 115.8346486 39.4650829, 115.83278 39.46252)"
"CSG-E00905","CSG-E00906","CSG-Ring","Up","10G","Fiber","Ring","Access","73%","LINESTRING(115.83278 39.46252, 115.8297596 39.4637805, 115.829021 39.460592)"
"CSG-E00906","CSG-E00907","CSG-Ring","Up","10G","Fiber","Ring","Access","80%","LINESTRING(115.829021 39.460592, 115.8320985 39.4603811, 115.830933 39.457525)"
"CSG-E00907","CSG-E00908","CSG-Ring","Up","10G","Fiber","Ring","Access","87%","LINESTRING(115.830933 39.457525, 115.8279928 39.4573036, 115.829479 39.454757)"
"CSG-E00908","CSG-E00909","CSG-Ring","Up","10G","Fiber","Ring","Access","18%","LINESTRING(115.829479 39.454757, 115.8321893 39.453759, 115.829973 39.451907)"
"CSG-E00909","CSG-E00910","CSG-Ring","Down","10G","Fiber","Ring","Access","25%","LINESTRING(115.829973 39.451907, 115.8278052 39.4499276, 115.830549 39.448884)"
"CSG-E00910","CSG-E00911","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","32%","LINESTRING(115.830549 39.448884, 115.8335695 39.4512458, 115.836357 39.448613)"
"CSG-E00911","CSG-E00912","CSG-Ring","Up","10G","Fiber","Ring","Access","39%","LINESTRING(115.836357 39.448613, 115.834894 39.4461658, 115.837744 39.446248)"
